plot_id,x,y,project_id,Strata
1,-1853280,1557720,3130,99
6,413160,729360,3130,99
11,172350,1749900,3130,99
16,1382460,1265190,3130,99
21,-1325100,1043760,3130,99
26,-1213650,2189100,3130,99
31,-1616220,1402440,3130,99
36,-136590,2414760,3130,99
41,-200670,1199160,3130,99
46,-182400,2602530,3130,99
51,-1095660,1258680,3130,99
56,443760,1533030,3130,99
61,-555660,2708220,3130,99
66,-1837980,2755860,3130,99
71,-877050,1034280,3130,99
76,-1655430,1678590,3130,99
81,892020,1471800,3130,99
86,-261120,2497890,3130,99
91,1443390,1960770,3130,99
96,-2208960,2316780,3130,99
101,-172110,2261430,3130,99
106,968130,1282530,3130,99
111,494790,2111340,3130,99
116,-1247850,1486590,3130,99
121,1511490,1815840,3130,99
126,335070,2405220,3130,99
131,-889590,1745490,3130,99
136,1660620,1459290,3130,99
141,-774360,1732770,3130,99
146,1325820,2019660,3130,99
151,-243780,1501830,3130,99
156,-335880,814530,3130,99
161,41370,1180410,3130,99
166,350940,1804350,3130,99
171,447450,2021460,3130,99
176,749460,1078110,3130,99
181,192150,966210,3130,99
186,120630,2791590,3130,99
191,752670,1657980,3130,99
196,411000,1223820,3130,99
201,-1448250,2252970,3130,99
206,-1574460,1894500,3130,99
211,-57510,839100,3130,99
216,-161910,1826370,3130,99
221,-1341060,2226360,3130,99
226,308760,1296090,3130,99
231,-1184190,2305800,3130,99
236,1496490,1725300,3130,99
241,-436440,1235670,3130,99
246,1041870,1518810,3130,99
251,-1602030,1530510,3130,99
256,-1192320,1852410,3130,99
261,1692810,1676430,3130,99
266,-879720,2339670,3130,99
271,355110,935280,3130,99
276,-1781940,3004920,3130,99
281,576630,2798610,3130,99
286,1784880,1934820,3130,99
291,-350370,2163930,3130,99
296,-494550,2409150,3130,99
301,151710,1131660,3130,99
306,1241400,1074930,3130,99
311,-1714920,2262090,3130,99
316,-1868070,1814520,3130,99
321,-1245690,2198460,3130,99
326,292590,2487840,3130,99
331,-930600,1934190,3130,99
336,-180600,2865780,3130,99
341,1250730,1587240,3130,99
346,733230,1207110,3130,99
351,1590840,1652880,3130,99
356,682020,1228920,3130,99
361,567990,1826040,3130,99
366,199620,2204040,3130,99
371,-845550,1693620,3130,99
376,-642780,2536170,3130,99
381,279630,1274310,3130,99
386,1444740,1811700,3130,99
391,127200,2683260,3130,99
396,-280170,662850,3130,99
401,-1947090,2574930,3130,99
406,-899790,2030250,3130,99
411,-1614240,2214930,3130,99
416,613620,1575240,3130,99
421,-619440,2094090,3130,99
426,-1502250,2655420,3130,99
431,-797370,1137690,3130,99
436,-251220,2824200,3130,99
441,433320,1341210,3130,99
446,222450,822120,3130,99
451,-1639590,1835100,3130,99
456,-501750,1739430,3130,99
461,204240,2743560,3130,99
466,-2098050,2429640,3130,99
471,-81900,1207200,3130,99
476,-1167990,2126370,3130,99
481,-559560,1947480,3130,99
486,-135690,1827780,3130,99
491,456300,1933410,3130,99
496,142620,900780,3130,99
501,-1402650,2509770,3130,99
506,-882570,1714860,3130,99
511,1766430,1846200,3130,99
516,-1403250,1292670,3130,99
521,-54600,718350,3130,99
526,-1836810,2281380,3130,99
531,-2164110,2173890,3130,99
536,986550,1626990,3130,99
541,575130,1457130,3130,99
546,-1336800,1569090,3130,99
551,-197010,800340,3130,99
556,-408090,752880,3130,99
561,-1439400,1567140,3130,99
566,1003170,2326890,3130,99
571,-1328730,1242120,3130,99
576,-182460,546180,3130,99
581,2103120,2659920,3130,99
586,-266910,1497810,3130,99
591,1463670,2222190,3130,99
596,-1916370,1787160,3130,99
601,1562040,469260,3130,99
606,-515100,877170,3130,99
611,-849210,2515710,3130,99
616,925770,2382510,3130,99
621,-1383000,2863290,3130,99
626,-1458480,2229300,3130,99
631,1595790,2013060,3130,99
636,210720,1078680,3130,99
641,171120,1989780,3130,99
646,-1464870,2334720,3130,99
651,-765390,840480,3130,99
656,-1790100,2476860,3130,99
661,-1655910,2656860,3130,99
666,1985160,2846100,3130,99
671,-965790,2387760,3130,99
676,-1056420,1784310,3130,99
681,-1705140,2580240,3130,99
686,1385430,2045040,3130,99
691,1735140,1959930,3130,99
696,-1496490,1855440,3130,99
701,481410,1457280,3130,99
706,-775890,1174530,3130,99
711,-344070,1961340,3130,99
716,1099380,2003430,3130,99
721,-947250,1860480,3130,99
726,-1151340,1830000,3130,99
731,1159680,1199760,3130,99
736,790350,1181070,3130,99
741,739260,840720,3130,99
746,-79080,637440,3130,99
751,-1667760,1256160,3130,99
756,1485330,1438710,3130,99
761,-469530,2854380,3130,99
766,-197760,2625660,3130,99
771,126480,1628280,3130,99
776,-1471020,2367570,3130,99
781,1485630,1546410,3130,99
786,-216930,2606880,3130,99
791,1383780,1009260,3130,99
796,-322290,2017560,3130,99
801,-1668870,1812990,3130,99
806,-244230,1927620,3130,99
811,1469070,1790700,3130,99
816,-975960,2094030,3130,99
821,1495620,1858410,3130,99
826,-1043850,2964480,3130,99
831,467520,1663710,3130,99
836,816120,2190300,3130,99
841,-487800,1191990,3130,99
846,-2055060,2260620,3130,99
851,1205970,1560930,3130,99
856,-1241130,2791440,3130,99
861,-335550,1072590,3130,99
866,-2200380,1547550,3130,99
871,-2163540,2780730,3130,99
876,-1881480,2436870,3130,99
881,-1429380,2105190,3130,99
886,838350,1341360,3130,99
891,873690,2591370,3130,99
896,914610,2503350,3130,99
901,-1879800,2860650,3130,99
906,602010,2611980,3130,99
911,-1186590,1013670,3130,99
916,-1573500,1327710,3130,99
921,-379590,1969650,3130,99
926,1422180,2003910,3130,99
931,147600,1144980,3130,99
